ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,ID,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
,Nippon Koei LAC,,Mexico,,,,0011I00000v7S5iQAE,Research Center,Academic Institution,Nippon Koei LAC,0,,Private Sector,Alliance,,www.nklac.com
,,,Mexico,,,,0011I00000v7YGFQA2,University,Academic Institution,Tec de Monterrey,0,,Private Sector,,,
,,,United States,,,,0011I00000v7pc2QAA,,,Monica Casaux,0,,,,,
,INEE,,Mexico,,,,0011I00000v7zXkQAI,State Agency,Government,Instituto Nacional para la Evaluación de la Educación,0,,Public Sector,,,
,BM,Ciudad De México,Mexico,16000,,,0011I00000wZ3PjQAK,Other Financial Institution,Financial Institution,Banco Mundial México,0,,Public Sector,Alliance,,
,IMCP,Ciudad de México,Mexico,5120,Federal District,44 Bosque de Tabachines,0011I00000wZ44yQAC,Research Center,Academic Institution,Colegio de Contadores Públicos de México,0,11051900,Public Sector,Supplier,,www.ccpm.org.mx
,,Miami,Mexico,,,,0011I00000wa6rqQAA,Other Financial Institution,Financial Institution,Finconecta,0,,Private Sector,Borrower,,https://www.finconecta.com/
,OPS,Ciudad de México,Mexico,11000,Federal District,"440 Calle Montes Urales, Piso 2",0011I00000wae4tQAA,,International Organization / Program,Organización Panamericana de la Salud,0,,Public Sector,Alliance,,https://www.paho.org/mex/
,IECS,Buenos Aires,Argentina,C1414,Ciudad Autónoma de Buenos Aires,2024 Doctor Emilio Ravignani,0011I00000wagYvQAI,Research Center,Academic Institution,Instituto de Efectividad Clínica y Sanitaria,0,+5411.4777.8767,Public Sector,,,https://www.iecs.org.ar/
,ACOES,Bogotá,Colombia,,,,0011I00000wah0BQAQ,,Civil Society / NGO,Asociación Colombiana de Economía de la Salud,0,,Private Sector,,,https://www.saludpublicacolombia.org/
,,Medellín,Colombia,50010,,53108 Calle 67,0011I00000wah2IQAQ,,Academic Institution,Universidad de Antioquia,0,[57+4] 219 8332,Private Sector,,,http://www.udea.edu.co/wps/portal/udea/web/inicio/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziLSydjQwdTQx8LAws3AwcA0N8XE1CfQ0M_E31wwkpiAJKG-AAjgZA_VFgJXATDLwNTYEmuAb4hfg7B7h4GUEV4DGjIDfCINNRUREATA0gew!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/
,ADRES,Bogotá,Colombia,,,,0011I00000wks3qQAA,State Agency,Government,Adminsitratdora de los Recursos del Sistema de Seguridad Social en Salud,0,,Public Sector,,,https://www.adres.gov.co/
,,Bath,United States,4530,Maine,15 Centre Street,0011I00000wks9oQAA,Consulting Firm,Business,Social Insight,0,+1202.443.2331,Private Sector,,,https://www.socialinsight.org/
,,Ciudad de Panamá,Panama,,,"Calle 58, Obarrio, Edificio 11, Oficina 1",0011I00000woK1DQAU,Corporation,Business,3S Servicios Audiovisuales,0,(507)213-1817,Private Sector,,,http://audiovisuales3s.com/
,,Leamington Spa,United Kingdom,CV32 4LY,,8 Hamilton Terrace,0011I00000woMRoQAM,Corporation,Business,Yotta,0,1926319600,Private Sector,,,https://weareyotta.com
,INSP,Cuernavaca,Mexico,62100,Morelos,655 Avenida Universidad,0011I00000woVYMQA2,Research Center,Academic Institution,Instituto Nacional de Salud Pública,0,7773293000,Public Sector,,,https://insp.mx/
,,,Jamaica,,,,0011I00000woXtTQAU,,,ICT Pulse,0,,,,,
,,Montevideo,Uruguay,11100,,1641/202 Avenida Libertador Brigadier General Juan Antonio Lavalleja,0011I00000wp1cvQAA,Business Association/Chamber,Business,Cámara de Comercio Uruguayo-Británica,0,+598 2 9080349,Private Sector,Other,,http://www.camurbri.com.uy
,,Washington,United States,,District of Columbia,"1300 New York Ave, N.W.",0011I00000wp4gBQAQ,,,IDB IIC Credit Union,0,(202) 623-3344,,,,www.idbcreditu.org
,,,Mexico,,,,0011I00000wpZOrQAM,,Civil Society / NGO,Nación Creativa,0,,Private Sector,,,
,Sable,,Mexico,,,,0011I00000wpZiXQAU,,Business,Sable Studio,0,,Private Sector,,,https://www.sable.mx/#
,RITA,,Mexico,,,,0011I00000wpa8EQAQ,,Civil Society / NGO,Red Indígena de Turismo,0,,Private Sector,,,http://www.rita.com.mx/
,CNBV,Ciudad de México,Mexico,1020,,1971 Insurgentes Sur,0011I00000wpaTYQAY,,,Comisión Nacional Bancaria y de Valores,2,,,,,www.cnbv.gob.mx
,BANSEFI,Ciudad de México,Mexico,1090,Mexico City,"Río Magdalena 115, Tizapán San Ángel",0011I00000wpagmQAA,National,Government,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C  (ahora Banco del Bienestar, S.N.C.)",0,5.25555E+11,Public Sector,,,www.bansefi.mx
,Banobras,Ciudad de México,Mexico,1219,,515 Avenida Javier Barros Sierra,0011I00000wpakyQAA,,Government,Banco Nacional de Obras y Servicios Públicos,0,,Public Sector,,,
,Nafin,Ciudad de México,Mexico,1020,,1971 Insurgentes Sur,0011I00000wpan4QAA,,Government,Nacional Financiera,0,,Public Sector,,,
,FND,Ciudad de México,Mexico,11800,,227 Agrarismo,0011I00000wparBQAQ,,Government,Financiera Nacional de Desarrollo,0,,Public Sector,,,www.fnd.gob.mx
,Banxico,Ciudad de México,Mexico,6000,Mexico City,"Av. 5 de Mayo No. 2, Col. Centro",0011I00000wpavrQAA,National,Government,Banco de México,0,5.25552E+11,Public Sector,,,http://www.banxico.org.mx/
,Bancomext,Ciudad de México,Mexico,14210,,4333 Periferico Sur,0011I00000wpazeQAA,,Government,Banco Nacional de Comercio Exterior,0,,Public Sector,,,www.bancomext.gob.mx
,,London,United Kingdom,,,,0011I00000wpckVQAQ,,Foundation,World Vision International,0,,Private Sector,,,
,,,Mexico,,,"Av. Paseo de la Reforma, 412 Piso 14, Col.Juarez Alcaldia Cuauhtémoc, CP 06600 Ciudad de México",0011I00000wpeMBQAY,,,LLORENTE & CUENCA,0,+52 55 5257 1084,,,,
,Santander,,Mexico,1219,Mexico City,"Prolongacion Paseo de la Reforma 500, Santa Fe, Zedec Sta Fé,  Ciudad de México",0011I00000wpg1MQAQ,Commercial Bank,Financial Institution,Banco Santander,0,,Private Sector,,,https://www.santander.com.mx/
,,,Mexico,,,,0011I00000wpgN6QAI,Consulting Firm,Business,Vitalis,0,,Private Sector,,,https://vitalis.com.mx/es/vitalis/
,,,Mexico,,,,0011I00000wpgQkQAI,Micro Finance Institution,Financial Institution,Capital Índigo,0,,Private Sector,,,http://capitalindigo.com/index-2.html
,Reforma,,Mexico,,,,0011I00000wpgeFQAQ,Newspaper,Media and Press,Grupo Editorial Reforma,0,,Private Sector,,,https://www.reforma.com/
,,cdmx,Mexico,6500,Federal District,Rio Lerma 71,0011I00000wph0xQAA,,Diplomatic Representation,Embajada Británica,0,,Public Sector,,,ukinmexico.fco.gov.uk
,,Malaunay,France,76770,,Nutriset - Hameau du Bois Ricard - CS 80035 - 76770 Malaunay - France,0011I00000wpiwqQAA,Corporation,Business,Nutriset,0,+3302.3293.8282,Private Sector,,,https://www.nutriset.fr/en
,,,Mexico,,,,0011I00000wpj41QAA,Newspaper,Media and Press,El Economista,0,,Private Sector,,,https://www.eleconomista.com.mx/
,INCMNSZ,México,Mexico,14080,Federal District,"Avenida Vasco de Quiroga No.15, 
Colonia Belisario Domínguez Sección XVI, 
Delegación Tlalpan C.P.14080, 
Ciudad de México",0011I00000wpjFxQAI,State Agency,Government,INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,0,52.55.5487.0900,Public Sector,,,https://www.incmnsz.mx/opencms/
,,,Argentina,1900,Buenos Aires,"Dirección: Calle 8 entre 45 y 46
Cod. Postal: 1900",0011I00000wpjUNQAY,State / Provincial,Government,MINISTERIO DE ECONOMÍA PROVINCIA DE BUENOS AIRES,0,+54 221 429 4400,Public Sector,Borrower,,https://www.gba.gob.ar/economia
,,,Argentina,,,,0011I00000wpjfyQAA,State / Provincial,Government,Subsecretaría de Finanzas del Ministerio de Economía de la Provincia de Buenos Aires,0,(0221) 429-4560 / 4489,Public Sector,Borrower,,
,DPOMyFB,,Argentina,,,,0011I00000wpjiyQAA,State / Provincial,Government,Dirección Provincial de Organismos Multilaterales y Financiamiento Bilateral,0,(0221) 429-4576,Public Sector,Borrower,,
,,La Plata,Argentina,,Buenos Aires,1120 Avenida 51,0011I00000wpk3xQAA,State / Provincial,Government,MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES,0,0221 429-2700,Public Sector,,,https://www.gba.gob.ar/saludprovincia
,,London,United Kingdom,SE1 0BL,,64 Great Suffolk Street,0011I00000wpkDTQAY,,Civil Society / NGO,Alzheimer´s Disease International,0,+44 20 79810880,Private Sector,,,https://www.alz.co.uk/
,SHCP,Álvaro Obregón,Mexico,1020,Federal District,"Insurgentes Sur 1971, Col. Guadalupe Inn",0011I00000wqEiiQAE,Ministry / Secretariat,Government,Subsecretaria de Hacienda y Crédito Público,0,5.25537E+11,Public Sector,Alliance,,https://www.gob.mx/shcp
,SHCP-Egresos,Álvaro Obregón,Mexico,2410,Federal District,"1001 Avenida Constituyentes, Col. Belén de las Flores",0011I00000wqFXQQA2,Ministry / Secretariat,Government,Subsecretaria de Egresos,0,5.25537E+11,Public Sector,Alliance,,
,,,Mexico,,,,0011I00000wqHg9QAE,,Civil Society / NGO,Renace,0,,Private Sector,,,http://renace.org.mx/
,J-PAL,Cambridge,United States,E19-201,Massachusetts,400 Main Street,0011I00000wqHqLQAU,Research Center,Academic Institution,Abdul Latif Jameel Poverty Action Lab,0,+1 (617) 324-6566,Private Sector,,,https://www.povertyactionlab.org/
,,Ciudad de México,Mexico,,Federal District,N/A,0011I00000xIHEHQA4,,Civil Society / NGO,The Aspen Institute México,0,,Private Sector,,,http://aspeninstitutemexico.org/
,,Caracas,Venezuela,1064,,Avenida La Estancia,0011I00000xMicEQAS,,,Vikua,2,5.82123E+11,,,,www.vikua.com
,,Bogotá,Colombia,,Distrito Capital de Bogotá,"Cl. 72 #9 - 55, Bogotá, Colombia",0011I00000xMigfQAC,,,Platzi,0,14158940755,,,,https://courses.platzi.com/
,,Buenos Aires,Argentina,,Buenos Aires,Buenos Aires,0011I00000xMjGRQA0,,,Talk2U,0,,,,,https://talk2u.org/
,aws,Arlington,United States,22201,Virginia,4250 Fairfax Drive,0011I00000xMjHKQA0,,,Amazon Web Services,0,7079446014,,,,https://aws.amazon.com/
,,Gembloux,Belgium,5030,,2 Passage des Déportés,0011I00000xMjKTQA0,,,Gembloux Agro-Bio Tech,0,,,,,http://www.gembloux.ulg.ac.be/
,,Stanford,United States,94305,California,1265 Welch Road,0011I00000xMjKdQAK,,,Stanford University,0,1-650-723-2300,,,,http://stanford.edu
,ULG,Liège,Belgium,4000,,7 Place du Vingt Août,0011I00000xMjUEQA0,,,Liège Université,0,+32 (0)4 366 21 11,,,,https://www.uliege.be/
,Hunton,Washington,United States,20037,District of Columbia,2200 Pennsylvania Avenue,0011I00000xMjjeQAC,,,Hunton,0,,,,,www.huntonak.com
,,Miami,United States,,Florida,Miami,0011I00000xMkgZQAS,,,eMerge Americas,0,,,,,https://emergeamericas.com/
,,New York,United States,10011,New York,115 W 18th St.,0011I00000xMkxLQAS,,,WeWork,0,,,,,http://wework.com
,,Ciudad de México,Mexico,5120,Federal District,"Paseo de Tamarindos No.90 
Torre I, Piso 11-B 
Col. Bosques de las Lomas, 
Cuajimalpa de Morelos, C.P. 05120 
Ciudad de Mexico 
México",0011I00000xN6mtQAC,Other Financial Institution,Financial Institution,MetLife Management Investments,0,52-55 5950-9905,Public Sector,Borrower,,https://investments.metlife.com/
,EVERIS,Madrid,Spain,28050,,Manoteras 52,0011I00000xNFg2QAG,Consulting Firm,Business,Everis España,0,34917490712,Private Sector,Supplier,,https://www.everis.com/spain/es/home-1
,ECSSA,Port-au-Prince,Haiti,,,"Clercine 16, rue C. Seant",0011I00000xNFyOQAW,,,ECSSA HAITI,1,509 37 02 4499,,,,WWW.ECSSAHAITI.COM
,PADF,Washington,United States,,District of Columbia,"1889 F St., NW
2nd Floor",0011I00000xNG5AQAW,,,Pan American Development Foundation Inc,0,1-202-458-3969,,,,http://padf.org
,BME,Madrid,Spain,,,"Plaza de Lealtad, 1",0011I00000xNGb1QAG,,,Bolsas y mercados de valores,0,,,,,
,,Miami,United States,33133,Florida,"2665 South Bayshore Drive
Suite 715",0011I00000xNGbBQAW,,,Natalia Mental Health Foundation,0,,,,,www.nataliamentalhealth.org
,Indigo,San Jose,Costa Rica,,,"Oficentro Curridabat, 3er Piso",0011I00000xNGdHQAW,,,Indigo Inteligencia Agrícola,0,,,,,www.indigoia.com
,CCIC,Kingston,Jamaica,6,,Hope Gardens Complex,0011I00000xNGl1QAG,,,Caribbean Climate Innovation Center,0,+1 876-977-2154,,,,
,CIAT,Cali,Colombia,763537,Cauca,Km 17 Recta Cali-Palmira,0011I00000xNH1DQAW,,,International Center for Tropical Agriculture,0,,,,,www.ciat.cgiar.org
,Ethichub,Madrid,Spain,0,,"Unkown Street, Madrid, Spain",0011I00000xNHThQAO,,,Ethichub,0,,,,,
,,Tokyo,Japan,100-8601,,"2-3-2 Otemachi, Chiyoda",0011I00000xNkeGQAS,,,Sumitomo Corporation,0,,,,,
,USAID,Washington,United States,,District of Columbia,14th Street,0011I00000xNkgWQAS,,,United States Agency for International Development,1,,,,,usaid.gov
,,Rohmoser,Costa Rica,,San José,175m no estadio Nacional blvd.,0011I00000xNkrUQAS,,,HREFF,0,,,,,
,,San Jose,Costa Rica,,San José,175m NO Estadio Nacional,0011I00000xNkzTQAS,,,CABEF,0,,,,,
,,Washington,United States,20006,,"815 Connecticut Avenue NW, Suite 220",0011I00000xNl0vQAC,,,Sumitomo Corporation of Americas,0,1-212-207-0700,,,,http://sumitomocorp.com
,,Newark,United States,,Delaware,"2035 Sunset Lake Road, Suite B-2",0011I00000xNlHSQA0,,,Tech Beach Retreat,0,+1 844 669 4222,,,,
,,Bethesda,United States,20814,Maryland,"4800 Montgomery Lane, Suite 630",0011I00000xNmlaQAC,,,Total Impact Capital,0,202-415-4774,,,,www.totalimpactcapital.com
,,Bogota,Colombia,,Antioquia,Bogota 1000,0011I00000xNmmsQAC,,,EWA,0,,,,,
,,Miami,United States,33131,Florida,"2 South Biscayne Blvd
 Suite 2610
 Miami, FL 33131
 EEUU",0011I00000xNmo0QAC,,,MGM Innova Group,0,,,,,
,,Chuo City,Japan,103-0026,,5-1 Nihonbashi Kabutocho Chuo-ku,0011I00000xNnVmQAK,,,Mitsubishi UFJ Financial,0,,,,,http://www.mufg.jp
,,Tokyo,Japan,103-6060,,"7-1, Nihonbashi 2-chome, Chuo-ku",0011I00000xPI2YQAW,,,Marubeni Corporation,0,,,,,
,,Washington,United States,20037,District of Columbia,"2100 Pennsylvania Avenue, NW, Suite 505",0011I00000xQ1hMQAS,,,Bank of Japan,0,,,,,
,,Ciudad de México,Mexico,11520,Federal District,Cda.miguel de Cervantes Saavedra,0011I00000xQ4wMQAS,,Foundation,Fundación Carlos Slim,0,,Private Sector,,,https://fundacioncarlosslim.org/inicio/
,IMSS,Ciudad de México,Mexico,6600,Federal District,476 Avenida Paseo de la Reforma,0011I00000xQ4yjQAC,National,Government,INSTITUTO MEXICANO DEL SEGURO SOCIAL,0,18006232323,Public Sector,,,http://www.imss.gob.mx/
,SAF,Mérida,Mexico,97000,Yucatán,"Calle 59 S/N, por Av. Itzáes y calle 90 Col Centro",0011I00000xQ52hQAC,State / Province,Government,Secretaría de Administración y Finanzas - Yucatán,0,,Public Sector,,,yucatan.gob.mx
,,Ñuñoa,Chile,,,3665 Irarrázaval,0011I00000xQWyVQAW,,,Fundacion Forge Chile POTENCIAL DUPLICADO,0,,,,,https://fondationforge.org/tag/chile/
,CUBO,São Paulo,Brazil,04547-130,São Paulo,Alameda Vicente Pinzon 54,0011I00000xQX6MQAW,,,CUBO Itaú,0,,,,,https://cubo.network/
,,Inverness,Netherlands,34450,,3800 CC Amersfoort,0011I00000xQXSmQAO,,,Oikocredit.coop,0,31 33 465 03,,,,www.oikocredit.coop
,,Grecia,Costa Rica,,Alajuela,Calle 1,0011I00000xQY1QQAW,,,Greencloud,0,,,,,www.greencloud.io
,,Santa Ana,Costa Rica,,San José,Plaza Murano,0011I00000xQYGKQA4,,,Edaway,0,,,,,www.edaway.lat
,,Providencia,Chile,,Región Metropolitana de Santiago,161 Monseñor Nuncio Sotero Sanz de Villalba of 1301,0011I00000xQYJYQA4,Other Financial Institution,Financial Institution,Gestora Montecarlo S.A.,1,,Private Sector,,,
,DGA Banca Empresas,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQeOIQA0,National,Government,Dirección General Adjunta Banca de Empresas,0,,Public Sector,Borrower,,
,CAFEDEHUILA,Neiva,Colombia,,,"Calle 4 No 3 -37 Neiva, Huila",0011I00000xQeOXQA0,,,Cooperativa Dptal. de Caficultores del Huila,0,8 8721527,,,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQeQIQA0,National,Government,Dirección General Adjunta Relación con Inversionistas y Proyetcos de Inversión,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQeRaQAK,National,Government,Dirección General Adjunta de Relaciones Institucionales e Internacionales,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,14210,Mexico City,4333 Periferico Sur,0011I00000xQeS8QAK,National,Government,Dirección General Adjunta de Administración y Finanzas,1,,Public Sector,Borrower,,
,SGAPDS,Ciudad de México,Mexico,14388,Federal District,4985 Calzada México-Xochimilco,0011I00000xQeWtQAK,Ministry / Secretariat,Government,"Subdirección General de Agua Potable, Drenaje y Saneamiento",0,,Public Sector,,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQeX3QAK,National,Government,Dirección General Adjunta de Jurídico y Fiduciario,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQeY8QAK,National,Government,Dirección General Adjunta de Fomento,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQec7QAC,National,Government,Dirección General Adjunto Financiero,0,,Public Sector,Borrower,,
,SGA,Ciudad de México,Mexico,14388,Federal District,4985 Calzada México-Xochimilco,0011I00000xQecbQAC,Ministry / Secretariat,Government,Subdirección General de Administración,0,,Public Sector,,,
,SGAA,Ciudad de México,Mexico,14388,Federal District,4985 Calzada México-Xochimilco,0011I00000xQegVQAS,Ministry / Secretariat,Government,Subdirección General de Administración del Agua,0,,Public Sector,,,
,,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,0011I00000xQf5CQAS,National,Government,Dirección General Adjunta Crédito,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,1030,Federal District,100 Tecoyotitla,0011I00000xQf6TQAS,State Agency,Government,FONATUR,0,,Public Sector,Borrower,,
,,Ciudad de México,Mexico,3900,,"Calle Damas 49, Col. San José Insurgentes",0011I00000xQfDhQAK,,,Programa de Inversión Forestal,0,15591386200,,,,
,,Ciudad de México,Mexico,3020,Federal District,"La Morena 804, Narvarte Poniente,",0011I00000xQfI7QAK,Ministry / Secretariat,Government,Subcoordinación General del Servicio Nacional de Empleo,0,,Public Sector,,,https://www.empleo.gob.mx/SNE
,,Ciudad de México,Mexico,3900,,"Calle Damas 49, Col. San José Insurgentes",0011I00000xQfOeQAK,,,Programa de Conservación de Bosques y Cuencas,0,,,,,
,OCAVM,Ciudad de México,Mexico,8040,Federal District,650 Avenida Río Churubusco,0011I00000xdH50QAE,State / Province,Government,Organismo de Cuenca Aguas del Valle de México,0,,Public Sector,,,
,,Ciudad de México,Mexico,6500,Federal District,505 Avenida Paseo de la Reforma,0011I00000xdHbiQAE,Consulting Firm,Business,Deloitte México,0,+5255 5080 6000,Private Sector,,,https://www2.deloitte.com/mx/es.html
,AyBC,Huixquilican,Mexico,52763,Mexico State,23 Hacienda el Ciervo,0011I00000xdHyVQAU,Consulting Firm,Business,Agua y Bienes de Capital,0,5.25552E+11,Private Sector,Other,,https://www.aguabc.com/
,,Guadalajara,Mexico,44100,Jalisco,55 Calle Independencia,0011I00000xdI4TQAU,State / Province,Government,Coordinación General Estratégica de Gestión de Territorio,0,+52 33 3818 2800,Public Sector,,,
,Sésamo,CDMX,Mexico,6600,Federal District,REFORMA 222,0011I00000xdwYRQAY,,Foundation,Fundación Sésamo,0,7863287545,Private Sector,Borrower,,
,ExM,"CDMX, CUAUHTEMOC",Mexico,6600,Federal District,"Hamburgo 14 PB, Col. Juárez, Del. Cuauhtémoc, CDMX",0011I00000xdxWBQAY,,Foundation,Enseña por México,0,15583682015,Private Sector,Borrower,,
,,londres,United Kingdom,56273,,London,0011I00000xdyHtQAI,,Foundation,Think Equal,0,,Private Sector,Alliance,,
,Cine en Casa,Naucalpan,Mexico,53150,Mexico State,"Av. Jardines de San Mateo # 103, Col. Santa Cruz Acatlán |",0011I00000xdyt8QAA,,Business,"Centro de Audio, Video y Comunicaciones S.A. de C.V.",0,+52 55 5373 4456,Private Sector,Supplier,,cavc.com.mx
,,cdmx,Mexico,11550,Federal District,"Ejército Nacional 843-B, Piso 4-B, Mexico City, Mexico",0011I00000xdz5CQAQ,Consulting Firm,Business,EY,0,,Private Sector,Alliance,,
,,cdmx,Mexico,11550,Federal District,No tienen dirección,0011I00000xdzLLQAY,,Foundation,CMINDS,0,,Private Sector,Alliance,,https://www.cminds.co/
,INEEL,Cuernavaca,Mexico,62490,Morelos,113 Reforma,0011I00000xdzvjQAA,National,Government,Instituto Nacional de Electricidad y Energías Limpias,0,+52 (777) 362 3811,Public Sector,Borrower;Supplier,,https://www.gob.mx/ineel
,,Ciudad de México,Mexico,3100,Federal District,890 Insurgentes Sur,0011I00000xe1ZcQAI,Ministry / Secretariat,Government,Subsecretaría de Electricidad,0,+52 55 5000 6000,Public Sector,Other,,
,,Ciudad de México,Mexico,3100,Federal District,890 Insurgentes Sur,0011I00000xe1hNQAQ,Ministry / Secretariat,Government,Subsecretaría de Hidrocarburos,0,+52 55 5000 6000,Public Sector,Other,,
,,Ciudad de México,Mexico,11320,,"Ejercito Nacional 223, Col. Anáhuac",0011I00000xe1lJQAQ,Ministry / Secretariat,Government,Subsecretaría de Planeación y Política Ambiental,0,5.25555E+11,Public Sector,Alliance;Other,,https://www.gob.mx/semarnat
,,Ciudad de México,Mexico,3100,Federal District,890 Insurgentes Sur,0011I00000xe1nPQAQ,Ministry / Secretariat,Government,Subsecretaría de Planeación y Transicion Energética,0,+52 55 5000 6000,Public Sector,Other,,
,SAT,Ciudad de México,Mexico,6300,Mexico City,Avenida Hidalgo 77,0011I00000xe1rxQAA,State Agency,Government,Servicio de Administración Tributaria,1,+52 55 6272 2728,Public Sector,Other,,https://www.sat.gob.mx/
,SEMARNAT,Ciudad de México,Mexico,11320,Federal District,"Ejercito Nacional 223, Col. Anáhuac",0011I00000xe1yfQAA,Ministry / Secretariat,Government,Subsecretaria de Fomento y Normatividad Ambiental,0,5.25555E+11,Public Sector,Alliance;Other,,https://www.gob.mx/semarnat
,,Cuernavaca,Mexico,62490,Morelos,113 Reforma,0011I00000xe20xQAA,National,Government,Gerencia de Energías Renovables,0,,Public Sector,Borrower;Supplier,,https://www.gob.mx/ineel
,SEB,Ciudad de México,Mexico,6000,Federal District,28 Avenida República de Argentina,0011I00000xe21qQAA,Ministry / Secretariat,Government,Subsecretaria de Educacion Basica,0,(55) 36017599,Public Sector,Other,,https://educacionbasica.sep.gob.mx
,SEMARNAT,Ciudad de México,Mexico,11320,Federal District,"Ejercito Nacional 223, Col. Anáhuac",0011I00000xe221QAA,Ministry / Secretariat,Government,Subsecretaría de Gestión para la Protección Ambiental,0,5.25556E+11,Public Sector,Alliance;Other,,https://www.gob.mx/semarnat
,,Zapopan,Mexico,45010,Jalisco,5360 Anillo Periférico Poniente,0011I00000xe24yQAA,State Agency,Government,Comisión Nacional Forestal,0,,Public Sector,,,
,DGDC,Ciudad de México,Mexico,6000,Federal District,28 Avenida República de Argentina,0011I00000xe29vQAA,Ministry / Secretariat,Government,Dirección General de Desarrollo Curricular,0,(55) 36017599,Public Sector,Other,,https://educacionbasica.sep.gob.mx/site/direccion/4
,,Ciudad de México,Mexico,6000,,28 Avenida República de Argentina,0011I00000xe2BJQAY,,Government,Dirección General de Eduación Continua,0,,Public Sector,Alliance,,
,,Ciudad de México,Mexico,6000,,28 Avenida República de Argentina,0011I00000xe2BLQAY,,Government,Dirección General de Educación Indígena,0,,Public Sector,Alliance,,
,DGME,Ciudad de México,Mexico,6000,,28 Avenida República de Argentina,0011I00000xe2BdQAI,Ministry / Secretariat,Government,DIRECCION GENERAL DE MATERIALES EDUCATIVOS,0,,Public Sector,Alliance,,WWW.educacionbasica.sep.gob.mx
,SEMARNAT,Ciudad de México,Mexico,11320,Federal District,"Ejercito Nacional 223, Col. Anáhuac",0011I00000xe2R5QAI,Ministry / Secretariat,Government,Dirección General de Políticas para el Cambio Climático,0,5.25555E+11,Public Sector,Alliance;Other,,https://www.gob.mx/semarnat
,,Montevideo,Uruguay,11300,Montevideo,"Avda Italia 6201
Edificio Los Pinos",0011I00000xe5SPQAY,,,Genexus Consulting,0,,,,,
,FPAP,La Paz,Bolivia,,,Av.6 de Agosto,0011I00000xe5VhQAI,,,Fundación PAP,0,,,,,
,,Providencia,Chile,,Región Metropolitana de Santiago,"Ricardo Lyon 222, Of. 1401",0011I00000xe6RtQAI,,Foundation,Fundación Descúbreme,1,+5622660 6136,Private Sector,,,www.descubreme.cl
,,Ciudad de México,Mexico,,,Avenida Coyoacán,0011I00000xe9FaQAI,SME/MSME,Business,ECOFIX,1,,Private Sector,,,
,UNIVA,La Piedad,Mexico,,,"Av. Universidad 1000, Col Santa Fe",0011I00000xf50GQAQ,,,UNIVA,0,352 126 5800,,,,www.univa.mx
,,HOMBOURG,Belgium,4852,,"Chevémont, 15",0011I00000xf6r0QAA,,,CODEART asbl,0,,,,,http://www.codeart.org/fr
,,Ciudad de México,Mexico,3020,Federal District,"La Morena 804, Narvarte Poniente",0011I00000xfRU3QAM,Ministry / Secretariat,Government,Direccion de Apoyos a Desempleados y Subempleados,0,01 800 841 2020,Public Sector,,,https://www.empleo.gob.mx/SNE
,IMEPLAN,Guadalajara,Mexico,44550,Jalisco,2350 Avenida Faro,0011I00000xhH1NQAU,State Agency,Government,Instituto Metropolitano de Planeación del Área Metropolitana de Guadalajara,0,+52 33 4445 4808,Public Sector,,,http://imeplan.mx/
,,Guadalajara,Mexico,44266,Jalisco,1221 Avenida Fray Antonio Alcalde,0011I00000xhK4RQAU,State Agency,Government,Secretaría de Gestión Integral del Agua Jalisco,0,,Public Sector,,,
,,Xalapa-Enríquez,Mexico,91000,Veracruz,Juan de La Luz Enríquez,0011I00000xhKVYQA2,State / Province,Government,H. Ayuntamiento de Xalapa,0,+52 228  842 1200,Public Sector,,,https://ayuntamiento.xalapa.gob.mx/
,SEPUIM BCS,La Paz,Mexico,23000,Baja California Sur,Isabel La Católica,0011I00000xhKguQAE,State Agency,Government,"Secretaría de Planeación Urbana, Infraestructura y Movilidad de Baja California Sur",0,+52 612 123 9416,Public Sector,,,http://sepuim.bcs.gob.mx/
