ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,,CREATEDBYID,CREATEDDATE,DESCRIPTION,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,LASTMODIFIEDBYID,LASTMODIFIEDDATE,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
,IOS,,Jamaica,,,,,0051I0000047Z3MQAU,2019-03-29T17:33:20.000Z,,Consulting Firm,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,IOS Partners,0,,Private Sector,Alliance,,
,,,China,,,,,0051I000004QeF6QAK,2019-03-29T20:48:37.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Zhengzhou Yutong Bus Company,0,,,,,https://www.yutong.com/about/introduction/
,Holos,Santiago de Chile,Ecuador,,,"cerro El Plomo 5931, Las Condes, Santiago de Chile",,0051I0000047Wr0QAE,2019-03-29T22:10:10.000Z,La firma está seleccionada para realizar la consultoría de Interoperabilidad para el Consejo de la Judicatura EC-T1368,Consulting Firm,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Inversiones Holos S.A.,0,56998880595,Private Sector,Supplier,,
,,quito,Ecuador,,Pichincha,Bosmediano N33-154 y General Roca,,0051I0000047Wr0QAE,2019-03-29T22:34:07.000Z,consultor que es parte del equipo para realizar la actualización de la plataforma virtual de contratación pública,Consulting Firm,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,NASE talento Humano,0,5.94E+11,Private Sector,Supplier,,
,ICAJ,Kingston,Jamaica,,,"8 Ruthven Road, Kingston 10",,0051I0000047Z3OQAU,2019-03-29T23:19:30.000Z,"Formed in Jamaica on January 18, 1965, the Institute of Chartered Accountants of Jamaica (ICAJ) was incorporated under the Public Accountancy Act (PAA) 1968. The PAA regulates the Accountancy profession in Jamaica as well as the use of Accountancy designations, CA and FCA.

The Institute has two (2) main categories of members designated Chartered Accountants:

Those in Public Practice.Those Not in Public Practice

The objectives of the Institute are to:

Promote and increase the knowledge, skill and proficiency of its members and students
Regulate the discipline and professional conduct of its members and students
Promote and protect the welfare and interest of the Institute and the Accountancy profession, both in Jamaica and abroad
Make provision for the training, education and examination of persons engaging or intending to engage in the profession
Do all such things as are incidental to realizing the objectives of the profession",,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Institute of Chartered Accountants of Jamaica,0,8769295869,,Other,,www.icaj.org
,,Kingston,Jamaica,,,"96-100 Harbour Street, Kignston",,0051I0000047Z3OQAU,2019-03-29T23:39:05.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,BD Gregg & Bro Limited,0,8769249300,Private Sector,Supplier,,
,,Kingston,Jamaica,,,"27 Sullivan Avenue, Kingston 8.",,0051I0000047Z3OQAU,2019-03-29T23:41:15.000Z,Provider of Communications consultancy services and event management.,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Breadknife Productions,0,8766484509,Private Sector,Supplier,,
,JPAL,Santiago de Chile,Ecuador,,,Av. Vicuna Mackenna 4860,,0051I0000047Wr0QAE,2019-04-01T01:07:35.000Z,La Representación ha firmado un contrato con la Universidad con código EC-T1323  para uso y generación de evidencia del Ministerio del Interior,University,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Pontificia Universidad Católica de Chile - BORRAR,0,,Public Sector,Supplier,,
,AGC,,Jamaica,,,"The Towers, 2 Oxford Road, Kingston 5",,0051I0000047Z3MQAU,2019-04-01T04:06:40.000Z,,National,Government,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Attorney General Chambers,0,,Public Sector,Alliance,,
,,Kingston 6,Jamaica,876,Kingston,1 Devon Road,,0051I0000047Z3NQAU,2019-04-01T13:49:58.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Office of the Cabinet,1,,Public Sector,Other,,
,Girls In Tech,,United States,,,,,0051I0000047Wr6QAE,2019-04-01T16:29:53.000Z,"Giirls in Tech is the world’s largest women in tech organization with 61,764 members in 32 countries, six continents and over 1 million followers on social media. Since our founding in 2007, over 10,000 women have attended our Catalyst Conference. We have funded, mentored and supported over 5,000 entrepreneurs through AMPLIFY, our startup pitch competition. Our coding, design, and startup Bootcamps have garnered over 65,000 participants. Our online learning platform, the Global Classroom has taught over 25,000 students how to develop websites and print in 3D. And lastly, our Hackathon series has attracted 125,000 participants to solve local and global problems. We’re always innovating and creating new programs to respond to the local and global needs of our Girls in Tech members.",,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Girls in Tech,1,,Private Sector,Alliance,,girlsintech.org
,,,Jamaica,,,,,0051I0000047Z3hQAE,2019-04-01T18:22:22.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Financial Services Commision,2,,,,,
,SENECYT,,Ecuador,,,,,0051I0000047WqqQAE,2019-04-01T19:52:35.000Z,,Ministry / Secretariat,Government,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación",2,,Public Sector,Borrower,,
,Pata de Gallo,Quito,Ecuador,,Pichincha,,,0051I0000047Wr6QAE,2019-04-01T21:51:15.000Z,"Somos un espacio de diseño multidisciplinar, dedicado a la arquitectura y diseño. Nuestras propuestas disruptivas dotan a los proyectos de una personalidad e identidad propia.

Nuestra práctica en diseño se concibe en distintas escalas, con la capacidad de resolver lo que puede suceder en un producto, espacio, cluster, distrito, ciudad. Nuestras soluciones son sensibles con las distintas redes de producción, para que de forma conjunta, podamos visionar formas diversas, empáticas y sustentables sobre el lugar en que habitamos.

Parte de nuestra esencia es nuestro laboratorio in-house llamado Fabricatorio, para investigación, desarrollo y generación de prototipos.",Consulting Firm,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Pata de Gallo,1,,Private Sector,Alliance,,www.patadegallo.space
,JICA,,Jamaica,,,,,0051I0000047Z3OQAU,2019-04-01T22:21:17.000Z,,,Diplomatic Representation,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Japan International Cooperation Agency,1,,Mixed,Alliance,,
,NOA,,Jamaica,,Kingston,"21-25 Old Hope Road
Kingston 5 
Jamaica",,0051I0000047Z3YQAU,2019-04-02T00:15:01.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,National Outdoor Advertizing,0,,,,,
,,,Jamaica,,Kingston,"8 Trafalgar Road, Kingston",,0051I0000047Z3YQAU,2019-04-02T00:31:10.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Sign Craft Limited,0,,,,,
,MOB,,Guyana,,,,,0051I0000047Z3hQAE,2019-04-02T00:48:41.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Ministry of Business,3,,,,,
,,,United States,,,,,0051I0000047Z3rQAE,2019-04-09T14:25:58.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Diplomatic Organization,0,,,,,
,,Kingston,Jamaica,,,"Hope Gardens, Kingston 6",,0051I0000047Z3qQAE,2019-04-10T15:16:58.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Inter-American Institute for Cooperation on Agriculture,1,8767024779,,,Prospect,www.iica.int
,,Freeport,Bahamas,,,"PO Box F-42531
Grand Bahama Island",,0051I0000047Z3qQAE,2019-04-11T15:25:24.000Z,Winner of Blue Tech Challenge in the Bahamas,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Clean Marine Group,0,18002691442,,,Partner,www.cleanmarinegroup.com
,,Ottawa,Canada,K1A 0G2,Ontario,125 Sussex Drive,,0051I000002sr9JQAQ,2019-04-12T13:33:09.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Global Affairs Canada,0,343-203-3555,,,,
,,Montevideo,Uruguay,11000,,Rincón 602  5to piso,,0051I000002u3Q0QAI,2019-04-30T18:42:22.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Asociación de Bancos Privados del Uruguay,0,29156359,,,Customer,
,,Bogotá,Colombia,,,"Cra. 16 #85-12, Bogotá, Cundinamarca",,0051I000000PujKQAS,2019-05-01T17:39:02.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,DataLab,0,,,,Reseller,http://wearedatalab.com/ver3/
,,Buenos Aires,Argentina,B1613,Buenos Aires,"Juan María Gutiérrez 1150, B1613 
Los Polvorines",,0051I000002sr9JQAQ,2019-05-09T15:18:51.000Z,Programa de Desarrollo Emprendedor - Universidad Nacional General Sarmiento,,,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,PRODEM,0,+54 11 4469 7500 Int. 7247,,,,https://prodem.ungs.edu.ar/
,,Montevideo,Uruguay,,Montevideo,Rincón 467,,0051I000002tAxIQAU,2019-05-17T14:02:11.000Z,"Intermedia es una compañía de tecnología líder en servicios de software. Diseñamos soluciones que han permitido a organizaciones ser más eficientes, competitivas y tomar mejores decisiones de negocio.",Consulting Firm,Business,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,Intermedia,0,+598 29152035,Private Sector,Supplier,,http://intermediasoftware.com
,,,United States,,,,,0051I000002tNp2QAE,2019-05-19T01:41:04.000Z,,,,0051I0000047rzNQAQ,2019-08-15T16:18:29.000Z,Rojo,0,,,,,
,,Montevideo,Uruguay,11000,,Plaza Independencia 743,,0051I000002sr9JQAQ,2019-05-20T18:08:32.000Z,Administradora de Fondos de Ahorro Previsional,Other Financial Institution,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:28.000Z,SURA Asset Management Uruguay,1,,Private Sector,,,https://www.afapsura.com.uy/
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"ACCIONA es una empresa global con un modelo de negocio construido en torno a la sostenibilidad y el objetivo de responder con éxito a los mayores desafíos globales, como el calentamiento global, la superpoblación y la escasez hídrica. Retos ante los que diseña soluciones en energía renovable, infraestructuras resilientes, gestión y tratamiento de agua y servicios.
Con presencia en más de 40 países de los 5 continentes, desarrolla su actividad empresarial bajo el compromiso de diseñar un planeta mejor, contribuyendo de esta manera al desarrollo sostenible de las comunidades en las que opera a través de las energías limpias, las infraestructuras, el agua y los servicios.

La estrategia de sostenibilidad en ACCIONA se instrumentaliza a través del Plan Director de Sostenibilidad, una hoja de ruta que integra todas las iniciativas de la compañía en este campo, en paralelo con la decisión de ACCIONA de liderar la transición hacia una economía baja en carbono. Para llevarlo a cabo, pone al servicio de todos sus proyectos criterios de excelencia y procesos de innovación destinados a optimizar el uso eficiente de los recursos y el respeto al entorno. La compañía es neutra en carbono desde 2016, compensando así todas las emisiones de CO2 generadas que no pudo reducir.

ACCIONA está presente en índices y ránquines selectivos de sostenibilidad como FTSE4Good, CDP Water Security A List 2018, 2019 Global 100 Most Sustainable Corporations in the World, entre otros.",,Business,0051I000004RlJWQA0,2019-08-15T22:38:13.000Z,"Acciona Ingeniería, S.A.",0,,Private Sector,,,https://www.acciona.com/es/
,,Ciudad de México,Mexico,14400,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"Agenda Ciudadana por el Desarrollo y la Corresponsabilidad Social A. C. (Agenda Ciudadana) es una organización de la sociedad civil que defiende los derechos humanos de las personas, comunidades y pueblos indígenas y, además, obedece a la inquietud de sus miembros por generar propuestas alternativas para un entendimiento diferente de los conceptos de desarrollo y corresp
Áreas de atención:
Defensa y Asesoría jurídica
Diagnósticos y estudios sociales
Diseño y formulación de políticas públicas
Capacitación y Fortalecimiento Institucional",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-15T22:45:17.000Z,Agenda Ciudadana por el Desarrollo y la Corresponsabilidad Social A. C.,0,5.26E+11,Private Sector,,,https://agenda-ciudadana.org/
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"AIESEC es una plataforma global para que los jóvenes exploren y desarrollen su potencial de liderazgo. Somos una organización no política, independiente, sin fines de lucro dirigida por estudiantes y recién graduados de instituciones de educación superior. Sus miembros están interesados en los problemas del mundo, el liderazgo y la gestión. AIESEC no discrimina por motivos de etnia, género, orientación sexual, religión u origen nacional/social.

Desde nuestra fundación, hemos participado y desarrollado más de 1.000.000 de personas jóvenes que han pasado por una experiencia de AIESEC. El impacto de nuestra organización se puede ver a través de nuestros Alumni quienes representan a empresas, ONG y líderes mundiales, incluyendo un Premio Nobel de la Paz , Martti Atisaari de Finlandia.",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-15T22:58:11.000Z,AIESEC México,0,,Private Sector,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004RlJWQA0,2019-08-15T23:25:35.000Z,Alianza Cívica,0,,Private Sector,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004RlJWQA0,2019-08-15T23:42:41.000Z,"Alianza Indigenista Pro Derechos Humanos, A.C.",0,,Private Sector,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"Alternativas es una organización fortalecedora del ecosistema de la sociedad civil organizada, que cuenta con 17 años de experiencia en investigación, análisis y desarrollo de propuestas para crear un entorno propicio para el desarrollo del sector social en México.

¿POR QUÉ?
Nuestra misión es fortalecer capacidades de incidencia en la sociedad civil organizada, promover la inversión social estratégica y trabajar por un entorno propicio para la participación en la esfera pública, con el objetivo de contribuir al desarrollo social del país.",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-15T23:55:07.000Z,"Alternativas y Capacidades, A.C.",0,,Private Sector,,,https://alternativasycapacidades.org/
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004RlJWQA0,2019-08-16T00:03:08.000Z,Instituto Mexicano de Desarrollo de Infraestructura (IMEXDI),0,,Public Sector,,,
,,Cancún,Mexico,77500,Quintana Roo,"Calle Fuego N° 2 SM. 4 Mza. 10, Col Centro, Cancún, Quintana Roo, México C.P. 77500",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"Amigos de Sian Ka’an es una de las más importantes organizaciones de la sociedad civil de México dedicadas a la conservación del medio ambiente y el desarrollo sustentable. Amigos de Sian Ka’an se fundó en 1986 como una respuesta de la sociedad para dar viabilidad a la recién creada Reserva de la Biosfera Sian Ka’an en Quintana Roo, México. A lo largo de los años la organización ha extendido su labor a todo el estado de Quintana Roo, al oriente de la Península de Yucatán en el Caribe Mexicano. 
Amigos de Sian Ka’an es una organización propositiva que no usa la confrontación para alcanzar sus fines. Más bien propone alternativas que balanceen el desarrollo de la sociedad y la conservación de los recursos naturales a través de su uso adecuado.
El equipo de Amigos de Sian Ka’an trabaja, con el apoyo de la sociedad, para conservar las selvas más extensas de México, los ríos subterráneos más grandes del mundo, los humedales más importante de Mesoamérica y el segundo arrecife coralino más largo del planeta. Tesoros naturales que aportan servicios ambientales que han permitido el desarrollo del destino turístico más importante de América Latina: Cancún - Riviera Maya. Esos servicios ambientales son tan relevantes como la captación de agua dulce, la belleza del paisaje, la captura de CO2, causante del cambio climático, la protección costera ante huracanes y muchos otros.
La labor de Amigos de Sian Ka’an se basa en la mejor información científica disponible para con ello impulsar políticas públicas como el decreto de áreas protegidas, o el diseño de normas, ordenamientos ecológicos y planes de desarrollo urbano. Con base en esas políticas públicas, colaboramos con comunidades, empresarios, autoridades y estudiantes para incrementar la participación de la sociedad en la conservación natural. Ello a través de proyectos productivos, el diseño de buenas prácticas ambientales y la educación ambiental.
 Amigos de Sian Ka’an es una organización sin fines de lucro y depende de tu donativo para cuidar y conservar todo el Caribe Mexicano.",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-16T00:38:58.000Z,"Amigos de Sian Ka´an, A.C.",0,,Private Sector,,,https://www.amigosdesiankaan.org/
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004RlJWQA0,2019-08-16T14:22:51.000Z,Amnistía Internacional,0,5.26E+11,Private Sector,,,amnistia.org.mx
,ASHOKA,Ciudad de México,Mexico,6700,Mexico City,"Impact HUB Mexico City.  Av. Álvaro Obregón 168, Piso 2, Col. Roma Norte",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"Ashoka es la organización global, con más de 40 años de experiencia, que impulsa el emprendimiento e innovación social. Tenemos la red de emprendedores sociales más grande y poderosa alrededor del mundo con presencia en 93 países y más de 3,500 emprendedores.

Nuestra estrategia conecta comunidades de emprendedores sociales, escuelas, universidades, empresas y profesionales de los medios para potenciar su poder transformador colaborativamente.
 
Además creamos las condiciones para que cada individuo cuente con las habilidades, conocimientos y herramientas en emprendimiento e innovación social para convertirse en agente de cambio.

Ashoka México se lanzó en 1987, siendo la segunda oficina en Latinoamérica en abrir sus puertas.  En 1997, la oficina de Ashoka México extendió su alcance a todo Centroamérica y empezó a seleccionar emprendedores sociales de dicha región.

Con la iniciativa de Venture and Fellowship se ha logrado vincular a 258 emprendedores sociales en la red de México y Centroamérica.  Con Ashoka U hemos creado 3 Changemaker Campus en universidades mexicanas y con Children and Youth buscamos que todos los jóvenes se asuman como agentes de cambio.
 
Que cada individuo tenga la libertad, confianza y el apoyo de la sociedad para responder ante cualquier problema social e impulsar el cambio.",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-19T15:33:12.000Z,ASHOKA México,0,5.26E+11,Private Sector,,,https://www.ashoka.org/es-MX
,,Miguel Hidalgo,Mexico,11560,Mexico City,"Andrés Bello 45 Piso 26 Polanco, Chapultepec",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004RlJWQA0,2019-08-19T15:58:41.000Z,Asociación Nacional de Consejos de Participación Cívica A.C.,0,,Private Sector,,,
,ANUIES,Ciudad de México,Mexico,3310,Mexico City,"Tenayuca 200, Col. Santa Cruz Atoyac",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004RlJWQA0,2019-08-19T18:44:14.000Z,Asociación Nacional de Universidades e Instituciones de Educación Superior,0,5.26E+11,Private Sector,,,http://www.anuies.mx/
,ATM,Ciudad de México,Mexico,6760,Mexico City,Col. Roma,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,"Ayúdame que yo También soy Mexicano es una asociación civil sin fines de lucro creada en el año 2000 por un grupo de jóvenes que preocupados por la situación social del país buscan transformar la calidad de vida de millones de familias mexicanas que viven en marginación y pobreza.

Para esto se llevan a cabo proyectos de autoconstrucción dirigida de vivienda basados en la participación social y la solidaridad comunitaria, de modo que también se buscan generar procesos comunitarios que ayuden a fomentar el desarrollo de las comunidades con las que se trabaja.",,Civil Society / NGO,0051I000004RlJWQA0,2019-08-19T21:14:49.000Z,Ayúdame que yo También soy Mexicano A.C.,0,5.26E+11,Private Sector,,,http://www.atm.org.mx
,,Acatlán,Mexico,43450,Hidalgo,"Av. 16 Enero 14, Centro",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,Municipal,Government,0051I000004RlJWQA0,2019-08-19T22:00:26.000Z,"Ayuntamiento de Acatlán, Hgo.",0,,Public Sector,,,https://www.acatlanhidalgo.gob.mx/
,,Cuautepec de Hinojosa,Mexico,43740,Hidalgo,"Palacio Municipal S/N, Centro",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004RlJWQA0,2019-08-19T22:00:04.000Z,"Ayuntamiento Cuautepec de Hinojosa, Hgo.",0,5.28E+11,Public Sector,,,www.cuautepechidalgo.gob.mx
,,Mineral de la Reforma,Mexico,42180,Hidalgo,"Av, Hidalgo No. 32, Pachuquilla",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,Municipal,Government,0051I000004RlJWQA0,2019-08-19T22:00:59.000Z,"Ayuntamiento Mineral de la Reforma, Hgo.",0,5.28E+11,Public Sector,,,http://www.mineraldelareforma.gob.mx/
,,Zacualtipán de Ángeles,Mexico,,Hidalgo,"Plaza de la Constitución, No. 1, Col. Centro",,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,Municipal,Government,0051I000004RlJWQA0,2019-08-19T21:55:25.000Z,Ayuntamiento de Zacualtipán Hgo.,0,5.28E+11,Public Sector,,,http://zacualtipan.hidalgo.gob.mx/
,BANCOMEXT,Ciudad de México,Mexico,14210,Federal District,4333 Periferico Sur,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,National,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",1,,Public Sector,,,https://www.bancomext.com/
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,BANSEFI,1,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,BIOSOCIAL INCLUSION Y DESARROLLO AC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CAMPECHE,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CATOLICAS POR EL DERECHO A DECIDIR,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CAUSA EN COMUN,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CEEY,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CEMEFI,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Business,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CEMLA III,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO CARITAS DE FORMACION PARA LA ATENCION DE LAS FARMACODEPENDENCIAS Y SITUACIONES CRITICAS ASOCIADAS AC CAFAC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DE ASESORIA Y PROMOCION JUVENIL AC CASA,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DE ESTUDIOS EDUCATIVOS Y SOCIALES,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DE ESTUDIOS ESPINOSA YGLESIAS,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DE INVESTIGACION PARA EL DESARROLLO,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DE INVESTIGACION Y ESTUDIOS SOBRE SOCIEDAD CIVIL AC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO DEL AGUA PARA AMERICA LATINA Y EL CARIBE,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO JUVENIL DE PROMOCION INTEGRAL,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CENTRO MARIO MOLINA,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Business,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CHIAPAS,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CHRISTEL HOUSE MEXICO,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CIDAC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CINAM,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CIRKLO,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CISS,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CIUDADANAS EN MOVIMIENTO POR LA DEMOCRACIA Y CIUDADANIA AC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CIUDANDO A QUIEN NOS CIUDA,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,COFEMER,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,COLECTIVO DE MUJERES POR LA EQUIDAD LA SALUD Y LA EDUCACION AC,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Civil Society / NGO,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,COLECTIVO ECOLOGISTA JALISCO CEJ,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Business,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,COM DE COOP ECOLOGICA FRONTERIZA COCEF,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,COMISION NACIONAL DE PROTECCION SOCIAL EN SALUD,0,,,,,
,,,Mexico,,,,,0051I0000047rzNQAQ,2019-05-20T19:47:57.000Z,,,Government,0051I000004QJ2KQAW,2019-07-11T20:25:09.000Z,CONAGUA,0,,,,,
